name,sggCity,queryPoint
박선규,영등포구갑,55
김영주,영등포구갑,59
강신복,영등포구갑,10
권영세,영등포구을,34
신경민,영등포구을,100
김종구,영등포구을,7
이상휘,동작구갑,14
김병기,동작구갑,100
장환진,동작구갑,5
나경원,동작구을,27
허동준,동작구을,0
장진영,동작구을,0
원영섭,관악구갑,6
유기홍,관악구갑,20
김성식,관악구갑,100
오신환,관악구을,91
정태호,관악구을,46
이행자,관악구을,45
이혜훈,서초구갑,48
이정근,서초구갑,6
이한준,서초구갑,2
박성중,서초구을,100
김기영,서초구을,72
조순형,서초구을,58
이종구,강남구갑,72
김성곤,강남구갑,54
김종훈,강남구을,12
전현희,강남구을,100
김광종,강남구을,0
이은재,강남구병,100
전원근,강남구병,37
박인숙,송파구갑,100
박성수,송파구갑,64
김창남,송파구갑,18
최명길,송파구을,32
이래협,송파구을,2
김영순,송파구을,9
김을동,송파구병,100
남인순,송파구병,6
차성환,송파구병,0
신동우,강동구갑,100
진선미,강동구갑,24
신동만,강동구갑,4
이재영,강동구을,100
심재권,강동구을,42
강연재,강동구을,43
곽상도,중구남구,100
김동열,중구남구,40
박창달,중구남구,44
정종섭,동구갑,55
황순규,동구갑,5
류성걸,동구갑,92
이승천,동구을,0
유승민,동구을,53
김상훈,서구,74
서중현,서구,42
손창민,서구,44
정태옥,북구갑,2
이현주,북구갑,1
권은희,북구갑,54
양명모,북구을,24
조명래,북구을,2
홍의락,북구을,100
김문수,수성구갑,28
김부겸,수성구갑,100
이인선,수성구을,2
정기철,수성구을,0
주호영,수성구을,9
곽대훈,달서구갑,96
변홍철,달서구갑,100
윤재옥,달서구을,87
김태용,달서구을,78
조원진,달서구병,100
김부기,달서구병,10
조석원,달서구병,13
추경호,달성군,49
조기석,달성군,12
구성재,달성군,28
정갑윤,중구,64
이철수,중구,21
이향희,중구,50
이채익,남구갑,100
심규명,남구갑,88
박기준,남구갑,45
박맹우,남구을,86
임동욱,남구을,14
송철호,남구을,100
안효대,동구,6
이연희,동구,8
김종훈,동구,100
윤두환,북구,15
윤종오,북구,100
김두겸,울주군,24
정찬모,울주군,9
강길부,울주군,92
박찬우,천안시갑,100
한태선,천안시갑,47
이종설,천안시갑,21
최민기,천안시을,41
박완주,천안시을,100
정재택,천안시을,14
이창수,천안시병,22
양승조,천안시병,100
정순평,천안시병,14
정진석,공주시부여군청양군,100
박수현,공주시부여군청양군,5
전홍기,공주시부여군청양군,0
김태흠,보령시서천군,100
나소열,보령시서천군,27
이기원,보령시서천군,11
이명수,아산시갑,100
이위종,아산시갑,68
이건영,아산시을,30
강훈식,아산시을,100
김광만,아산시을,15
성일종,서산시태안군,74
조한기,서산시태안군,25
한상율,서산시태안군,16
이인제,논산시계룡시금산군,100
김종민,논산시계룡시금산군,6
이환식,논산시계룡시금산군,0
김동완,당진시,100
어기구,당진시,99
송노섭,당진시,14
홍문표,홍성군예산군,58
강희권,홍성군예산군,16
양희권,홍성군예산군,28
김무성,중구영도구,71
김비오,중구영도구,1
유기준,서구동구,48
이재강,서구동구,23
나성린,부산진구갑,35
김영춘,부산진구갑,100
이헌승,부산진구을,100
조영진,부산진구을,58
이덕욱,부산진구을,38
이진복,동래구,100
김우룡,동래구,44
박승환,동래구,44
김정훈,남구갑,6
이정환,남구갑,2
서용교,남구을,32
박재호,남구을,100
유정기,남구을,6
박민식,북구강서구갑,48
전재수,북구강서구갑,100
김도읍,북구강서구을,82
정진우,북구강서구을,90
정규룡,북구강서구을,20
하태경,해운대구갑,100
유영민,해운대구갑,50
이병구,해운대구갑,13
배덕광,해운대구을,100
윤준호,해운대구을,32
최선명,해운대구을,53
김척수,사하구갑,42
최인호,사하구갑,100
박태원,사하구갑,48
조경태,사하구을,17
오창석,사하구을,42
배관구,사하구을,4
김세연,금정구,100
박종훈,금정구,40
노창동,금정구,11
김희정,연제구,100
김해영,연제구,98
유재중,수영구,100
김성발,수영구,44
배준현,수영구,48
손수조,사상구,100
배재정,사상구,28
장제원,사상구,35
윤상직,기장군,100
조용우,기장군,42
박견목,기장군,41
김진태,춘천시,100
허영,춘천시,49
강선경,춘천시,3
김기선,원주시갑,52
권성중,원주시갑,100
김수정,원주시갑,66
이강후,원주시을,66
송기헌,원주시을,100
이석규,원주시을,10
권성동,강릉시,7
김경수,강릉시,100
최종문,강릉시,1
박성덕,동해시삼척시,10
박응천,동해시삼척시,5
이철규,동해시삼척시,100
염동열,태백시횡성군영월군평창군정선군,61
장승호,태백시횡성군영월군평창군정선군,8
김진선,태백시횡성군영월군평창군정선군,100
이양수,속초시고성군양양군,49
김주학,속초시고성군양양군,22
황영철,홍천군철원군화천군양구군인제군,100
조일현,홍천군철원군화천군양구군인제군,32
정해용,홍천군철원군화천군양구군인제군,20
김정재,포항시북구,100
오중기,포항시북구,15
박승호,포항시북구,74
박명재,포항시남구울릉군,100
박승억,포항시남구울릉군,36
임영숙,포항시남구울릉군,44
김석기,경주시,100
정종복,경주시,28
권영국,경주시,22
이철우,김천시,100
박판수,김천시,22
김광림,안동시,100
이성노,안동시,30
박인우,안동시,28
백승주,구미시갑,100
남수정,구미시갑,59
장석춘,구미시을,100
김태환,구미시을,97
최교일,영주시문경시예천군,78
엄재정,영주시문경시예천군,16
김수철,영주시문경시예천군,38
이만희,영천시청도군,71
최기문,영천시청도군,39
김종태,상주시군위군의성군청송군,100
김영태,상주시군위군의성군청송군,26
최경환,경산시,100
배윤주,경산시,8
강석호,영양군영덕군봉화군울진군,94
이귀영,영양군영덕군봉화군울진군,12
홍성태,영양군영덕군봉화군울진군,17
이완영,고령군성주군칠곡군,100
박장호,고령군성주군칠곡군,43
한경노,동구남구갑,15
최진,동구남구갑,55
장병완,동구남구갑,100
문충식,동구남구을,6
이병훈,동구남구을,40
박주선,동구남구을,100
양병현,서구갑,9
송갑석,서구갑,73
송기석,서구갑,100
김연욱,서구을,2
양향자,서구을,61
천정배,서구을,100
정준호,북구갑,2
김경진,북구갑,100
